image_id,status,reason,logged_at_utc
"LC08_136045_20141220,LC08_136046_20141220",ok,length_m=76257.5 rss_mb=607 peak_mb=951,2026-08-27T06:38:55.014546+00:00
"LC08_135045_20151130,LC08_135046_20151130",ok,length_m=48169.5 rss_mb=607 peak_mb=951,2026-08-27T06:39:17.338808+00:00
"LC08_136045_20160108,LC08_136046_20160108",ok,length_m=88653.4 rss_mb=607 peak_mb=951,2026-08-27T06:39:43.382648+00:00
"20161120T042052_20161120T042434_T46QCJ,20161120T042052_20161120T042434_T46QDH,20161120T042052_20161120T042434_T46QDJ",ok,length_m=57599.8 rss_mb=641 peak_mb=3091,2026-08-27T06:42:10.325047+00:00
"20171120T042049_20171120T042828_T46QCJ,20171120T042049_20171120T042828_T46QDJ",ok,length_m=81731.5 rss_mb=644 peak_mb=3098,2026-08-27T06:45:00.930481+00:00
"20181130T042121_20181130T042551_T46QCJ,20181130T042121_20181130T042551_T46QDH,20181130T042121_20181130T042551_T46QDJ",ok,length_m=65154.5 rss_mb=644 peak_mb=3101,2026-08-27T06:47:30.897846+00:00
"20191105T041941_20191105T042414_T46QCJ,20191105T041941_20191105T042414_T46QDH,20191105T041941_20191105T042414_T46QDJ",ok,length_m=84301.9 rss_mb=641 peak_mb=3101,2026-08-27T06:49:47.860704+00:00
"20201109T042011_20201109T042039_T46QCJ,20201109T042011_20201109T042039_T46QDH,20201109T042011_20201109T042039_T46QDJ",ok,length_m=58112.9 rss_mb=644 peak_mb=3101,2026-08-27T06:54:34.979939+00:00
"LC09_136045_20211119,LC09_136046_20211119",ok,length_m=86162.2 rss_mb=607 peak_mb=3101,2026-08-27T06:55:00.101789+00:00
"20221114T042029_20221114T043106_T46QCJ,20221114T042029_20221114T043106_T46QDH,20221114T042029_20221114T043106_T46QDJ",ok,length_m=88018.7 rss_mb=643 peak_mb=3101,2026-08-27T06:57:23.855433+00:00
"20231109T042009_20231109T043050_T46QCJ,20231109T042009_20231109T043050_T46QDH,20231109T042009_20231109T043050_T46QDJ",ok,length_m=81003.2 rss_mb=644 peak_mb=3101,2026-08-27T06:59:41.611649+00:00
"20241123T042019_20241123T043006_T46QCJ,20241123T042019_20241123T043006_T46QDH,20241123T042019_20241123T043006_T46QDJ",ok,length_m=88719.0 rss_mb=641 peak_mb=3101,2026-08-27T07:02:21.904477+00:00
LT05_136045_19880212,ok,length_m=85702.5 rss_mb=579 peak_mb=897,2026-08-31T04:45:14.491027+00:00
"LT05_135045_19880221,LT05_135046_19880221",ok,length_m=51695.8 rss_mb=582 peak_mb=913,2026-08-31T04:46:01.742037+00:00
LT05_136045_19890318,ok,length_m=93099.0 rss_mb=586 peak_mb=916,2026-08-31T04:47:00.013221+00:00
LT05_136045_19891113,ok,length_m=81099.5 rss_mb=593 peak_mb=924,2026-08-31T04:47:35.518587+00:00
"LT05_135045_19891122,LT05_135046_19891122",ok,length_m=50021.3 rss_mb=593 peak_mb=924,2026-08-31T04:48:28.776647+00:00
"LT05_135045_19910128,LT05_135046_19910128",ok,length_m=54913.7 rss_mb=593 peak_mb=924,2026-08-31T04:49:01.352443+00:00
"LT05_136045_19910204,LT05_136046_19910204",ok,length_m=80128.9 rss_mb=594 peak_mb=925,2026-08-31T04:49:34.578949+00:00
LT05_136045_19911119,ok,length_m=78754.9 rss_mb=597 peak_mb=926,2026-08-31T04:50:10.898150+00:00
"LT05_135045_19920115,LT05_135046_19920115",ok,length_m=55026.1 rss_mb=597 peak_mb=927,2026-08-31T04:50:42.572651+00:00
